,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
total,0.2538530657543791,0.43443272135412664,0.5000364109248422,0.2214985284624258,0.35929377024836634,0.427958539330034,0.2538530657543791,0.46742901853493585,0.5192243194664503,0.2214985284624258,0.39353752291343597,0.4514862989869162,0.2538530657543791,0.39241649817294416,0.462113429179297,0.2214985284624258,0.31566914507806715,0.3923481774110859,0.2538530657543791,0.4276213184104902,0.4807129273103527,0.2214985284624258,0.34975433508993997,0.4145247538652439,0.25023931366339774,0.42335058922530533,0.47105221784057916,0.21978647930943981,0.3575810058867499,0.4092242400846878,0.25023931366339774,0.4513288114327188,0.48495143921677003,0.21978647930943981,0.3883369740261747,0.42368364302922573,0.2538530657543791,0.3425450707215372,0.41191370194501253,0.2214985284624258,0.29689384575989003,0.3705095277228229,0.2538530657543791,0.3597284777230945,0.41729888445295105,0.2214985284624258,0.3181986645562769,0.3675616023946837,0.24654552808350597,0.3801044518926823,0.4192326951167604,0.22248637892408918,0.3051768945131935,0.35338071092604656,0.24654552808350597,0.4111995563931026,0.4446256101681863,0.22248637892408918,0.3344207184123557,0.37835719601128875,0.24183683432391512,0.19878656895200744,0.2233038458265956,0.21840819832619476,0.18730579462798272,0.22454450374703172,0.24183683432391512,0.20961725321336697,0.2271047478414685,0.21840819832619476,0.20019894345850262,0.2266189242994572
piped,0.42332210240169377,0.5471216708356802,0.5647333873049176,0.37198796547383006,0.542785395295383,0.5585377321752469,0.42332210240169377,0.5548097377858411,0.6169350609750214,0.37198796547383006,0.549997551951248,0.6099376150045014,0.42332210240169377,0.5467217527744839,0.5622776819050814,0.37198796547383006,0.5376643252966876,0.5520604535697727,0.42332210240169377,0.5543248475463317,0.6102415124622486,0.37198796547383006,0.5447489151403531,0.5985498023655706,0.41911769481838435,0.5452378853052123,0.5689612445163271,0.3674089649328027,0.5286953235993027,0.5653861759849786,0.41911769481838435,0.5509246771192372,0.6145550683697459,0.3674089649328027,0.5357584334333788,0.6115076144707872,0.42332210240169377,0.5470716123134969,0.5656398200345837,0.37198796547383006,0.5427617430849873,0.5593026615402934,0.42332210240169377,0.554787147803728,0.5789142940381214,0.37198796547383006,0.550167961879317,0.6049171346659878,0.41359545574377904,0.5203990965284858,0.5289517518115512,0.35151486235802337,0.5158468188592821,0.5259287095971553,0.41359545574377904,0.5371898265200358,0.5704667727773802,0.35151486235802337,0.5338652734512582,0.5629100269005847,0.4085951405815497,0.5007179680715647,0.5229763415303442,0.3455079998490062,0.4889679104352422,0.5159726602957574,0.4085951405815497,0.5263375980301335,0.5717907426907841,0.3455079998490062,0.5178034017388105,0.5652249778406553
well,0.8113922129850405,0.7613660647181221,0.8245310769358944,0.8724026007499045,0.7381252311946594,0.7953550352849277,0.8113922129850405,0.7588368913422286,0.8298976505287774,0.8724026007499045,0.7297431393599948,0.7988858638339146,0.8113922129850405,0.7684663350508322,0.8126279704955542,0.8724026007499045,0.7533076427878028,0.7902948847417655,0.8113922129850405,0.7609449356128527,0.8143308889755457,0.8724026007499045,0.7361741688918649,0.7877393250621832,0.8138582897064001,0.7212655503118431,0.7651059219660169,0.8748881167886094,0.6996635706714591,0.7383153901634903,0.8138582897064001,0.7202754843011502,0.7683103349978285,0.8748881167886094,0.692645618093191,0.7375568754048278,0.8113922129850405,0.7618896804139945,0.8253605673216446,0.8724026007499045,0.7383124192074831,0.796341908500417,0.8113922129850405,0.759478899061126,0.8325856743857152,0.8724026007499045,0.7299919822771409,0.7992450760239844,0.8135023522156809,0.757988991751381,0.8182565952037087,0.8860238563907812,0.7344033779690945,0.78903568929201,0.8135023522156809,0.7536351633890944,0.8241290696223383,0.8860238563907812,0.7230281801603566,0.7931834428245378,0.8150909865107064,0.7218326195723427,0.7446971299260025,0.8877429240021325,0.7166636083731447,0.7294532282331234,0.8150909865107064,0.7131811240340205,0.7493918317122211,0.8877429240021325,0.68869645350164,0.7211408501516744
tanker1,0.8623190127140425,0.7842335086495636,0.7749547128136399,0.8716870066349548,0.7640236233798027,0.7546220279466102,0.8623190127140425,0.7759519948864164,0.7542743871491653,0.8716870066349548,0.755880671377349,0.7344348370527282,0.8623190127140425,0.7845067870577475,0.7754045061695306,0.8716870066349548,0.7650931259670308,0.7556538726917212,0.8623190127140425,0.7763173970396422,0.754625562124545,0.8716870066349548,0.7567651734188462,0.7350612238530961,0.8633491493916248,0.7945570922933785,0.7859300070406475,0.8735822433028467,0.7792955650312238,0.7577643159761501,0.8633491493916248,0.7933140926198895,0.7845165393408625,0.8735822433028467,0.7737102019721193,0.7505478205727839,0.8623190127140425,0.7086803060052524,0.6873280823309059,0.8716870066349548,0.7243440764744796,0.7062679061312536,0.8623190127140425,0.6855806969681851,0.683986535138084,0.8716870066349548,0.7056500820124137,0.6851626287095053,0.8636851091210964,0.7852731372813789,0.7793110999332385,0.8873222214254745,0.7653393984866429,0.7604227361734784,0.8636851091210964,0.7771394091603798,0.7646113040280859,0.8873222214254745,0.757162441723719,0.746622591999933,0.8642815461061882,0.6505144782134962,0.5999179793580869,0.8890004249906398,0.7315947104679661,0.6830192464857144,0.8642815461061882,0.6215145229046936,0.5724879047486929,0.8890004249906398,0.7102070329939368,0.6557573823766447
tanker2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
