,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
rich,0.045010234,1.934573871,5.720067561,0.003095888,1.041750822,2.874771374,0.045010234,2.576581983,6.367283399,0.003095888,1.470675606,3.363726182,0.045010234,2.103460505,5.327687043,0.003095888,1.235791559,2.891091249,0.045010234,2.677215369,6.270856097,0.003095888,1.688979872,3.453769887,0.041132949,1.728478545,4.465735139,0.003095888,0.714138118,2.918336246,0.041132949,2.091395077,4.665876142,0.003095888,0.948894,3.041201561,0.045010234,1.374707416,3.461931276,0.003095888,0.977509583,2.044723509,0.045010234,1.931930457,3.44362166,0.003095888,1.294032856,2.164236061,0.001148965,0.686878526,2.461720426,0.003095888,0.196549418,1.273116979,0.001148965,1.078866394,3.194199688,0.003095888,0.508899527,1.647192283,0.001148965,0,0.529885559,0.003095888,0,0.616114386,0.001148965,0.142209034,0.545630908,0.003095888,0.230627225,0.696555188
mid,0.843329954,3.565854382,6.654570905,0.483205761,2.161661905,4.319528023,0.843329954,4.493570406,7.0675008,0.483205761,2.563277603,4.759341135,0.843329954,3.656600317,6.519692658,0.483205761,2.206305181,4.306437751,0.843329954,4.627917261,7.094024893,0.483205761,2.593695009,4.858544713,0.783152992,3.370185938,5.582502101,0.471563795,2.214830029,4.017325924,0.783152992,3.716382055,5.592047665,0.471563795,2.540203637,4.078655859,0.843329954,2.580117225,4.095667373,0.483205761,1.93848328,3.2664649,0.843329954,2.8051358,4.179011327,0.483205761,2.224781121,3.196110656,0.429218442,2.250641431,4.047314324,0.313833461,1.037715831,2.255072325,0.429218442,2.915910614,4.864401592,0.313833461,1.416192423,2.775121702,0.347414752,0.341898203,0.717839117,0.248359528,0.395212886,0.857429005,0.347414752,0.469914136,0.82853089,0.248359528,0.607021128,0.863202648
poor,3.862176773,7.061144178,8.730224955,2.964334564,5.842922675,8.30136467,3.862176773,7.364826748,8.705130595,2.964334564,6.728878528,8.385699374,3.862176773,7.226969316,9.180366682,2.964334564,6.722082352,9.376744716,3.862176773,7.565894372,9.223616626,2.964334564,7.632285731,9.446272263,3.664618962,6.673426619,8.135363163,2.965998351,5.562512099,8.276121784,3.664618962,6.866153071,7.674815597,2.965998351,6.442565246,8.00075979,3.862176773,5.39007678,7.579947455,2.964334564,5.695758417,8.272482025,3.862176773,5.727257295,7.704183529,2.964334564,6.575703926,8.154026482,3.028900686,5.91847774,7.261219778,2.805904317,4.396361043,6.631216146,3.028900686,6.374595144,7.357819549,2.805904317,5.299855706,6.767579897,2.799909384,5.100099809,6.325645384,2.315412812,4.36778988,5.71357342,2.799909384,5.531498566,6.553064603,2.315412812,4.724204384,5.758736793
rich,4.865560901,5.40012,6.313646516,4.498923878,4.899965251,5.855221049,4.865560901,5.474946263,6.389752029,4.498923878,4.991443017,5.946347795,4.865560901,5.341483118,6.064667113,4.498923878,4.820187198,5.595825119,4.865560901,5.367274299,6.164224486,4.498923878,4.920231864,5.658969434,4.881932786,5.143552313,5.739382357,4.490072951,5.03618615,6.08192186,4.881932786,5.15259204,5.794146095,4.490072951,5.115007996,6.134738439,4.865560901,5.403485628,6.350728618,4.498923878,4.900063705,5.901098844,4.865560901,5.487156496,6.413696064,4.498923878,4.990379858,5.998471657,4.881608358,5.411301226,6.295602979,4.499878668,4.897708604,5.811403432,4.881608358,5.449161878,6.374166673,4.499878668,4.968511776,5.853465879,4.900381906,5.085828918,5.577427763,4.49904429,4.935639299,5.82315092,4.900381906,5.147921709,5.659584243,4.49904429,4.989750653,5.902287961
mid,4.834344626,5.495285537,6.788297602,4.702793727,5.16722539,6.280314215,4.834344626,5.599064742,6.946177346,4.702793727,5.264918602,6.422576196,4.834344626,5.368149445,6.541886345,4.702793727,5.086155932,6.078068255,4.834344626,5.428824608,6.595833875,4.702793727,5.189350241,6.148748159,4.780526717,5.229221653,6.362396546,4.646155511,5.084641942,5.962230714,4.780526717,5.295792746,6.465673542,4.646155511,5.120168828,6.047833886,4.834344626,5.522691565,6.859292202,4.702793727,5.155674843,6.327130155,4.834344626,5.620602807,6.990393648,4.702793727,5.254644605,6.464950587,4.804781682,5.459487715,6.672463624,4.681404014,5.121599797,6.195904952,4.804781682,5.528110101,6.843033936,4.681404014,5.193025983,6.307567268,4.769145848,5.125971539,6.086974156,4.634939255,4.966701643,5.699440992,4.769145848,5.181044617,6.190392571,4.634939255,5.006938799,5.75443831
poor,4.968211876,5.383671672,6.435544002,5.175537342,5.535881517,6.556482207,4.968211876,5.455066413,6.528190837,5.175537342,5.66930608,6.619077777,4.968211876,5.510251821,6.323987016,5.175537342,5.676137307,6.589531591,4.968211876,5.546686506,6.413185422,5.175537342,5.776197965,6.646193993,4.910909471,5.346182858,6.194384623,5.155733709,5.003358113,5.884718834,4.910909471,5.442217018,6.190793506,5.155733709,5.075053006,5.949330752,4.968211876,5.403209487,6.572347974,5.175537342,5.539512536,6.57529835,4.968211876,5.475879361,6.657799393,5.175537342,5.65578927,6.642209378,4.966990058,5.378799479,6.428475876,5.157519948,5.530024992,6.491413576,4.966990058,5.434806916,6.417430609,5.157519948,5.609688326,6.556664373,4.90202192,5.252439083,6.030186688,5.137466695,4.927682965,5.602131725,4.90202192,5.31630332,6.074700715,5.137466695,4.999436712,5.632962783
