,0
0,129.94483292478577
1,150.2240436111532
2,211.50447733095316
3,181.78091489380836
4,273.28972721330683
5,205.877777480096
6,208.45458279395115
7,210.6300630348937
8,233.23483197265696
9,275.3672788429728
10,277.3675379389334
11,659.3793306235821
12,1708.2674982987628
13,667.9103818620596
14,647.4955131114655
15,697.8281103109235
16,686.9086840598163
17,2427.8217440423214
18,2398.949920551727
19,2430.5817886543823
20,2432.0898290582627
21,2433.6119578472976
22,2425.1279231528506
23,2426.6657833305635
24,1677.681017409571
25,726.5699384980786
26,655.4457273998769
27,775.0884614646548
28,1036.6564670565388
29,3067.8795425612657
30,3068.879823828039
31,3069.7634429636496
32,3070.8565228455677
33,3072.0675911029343
34,3063.3163418681047
35,3064.7530581569285
36,129.87367274003617
37,130.04338538266921
38,131.24480062429754
39,131.46910834972905
40,132.91496033020866
41,135.45758747034733
42,138.01040493278092
43,140.18570015080437
44,142.74852809325546
45,144.84212607128384
46,146.79686952913445
47,308.73852520577617
48,777.6539771007061
49,277.1837228494029
50,276.6734266780299
51,296.92781098910626
52,285.91038327836884
53,1096.7904218504484
54,1067.9303288129267
55,1099.5739170073734
56,1101.1016586516841
57,1092.6479884385437
58,1094.1506764994185
59,1095.6766981706728
60,767.0749800185479
61,305.8621917881256
62,274.6459369682902
63,334.2200053273144
64,445.7636382201045
65,1376.9926433393443
66,1378.0088661808322
67,1378.9153867132827
68,1380.0392455278468
69,1381.2716669102651
70,1382.4999200963616
71,1383.8979177490332
72,129.94483292478577
73,150.2240436111532
74,211.50447733095316
75,181.78091489380836
76,273.28972721330683
77,205.877777480096
78,208.45458279395115
79,210.6300630348937
80,233.23483197265696
81,275.3672788429728
82,277.3675379389334
83,659.3793306235821
84,1708.3514335759878
85,668.1621344071339
86,657.8498231205311
87,758.3849567685703
88,798.392994164178
89,3069.416437340063
90,3070.534464232215
91,3071.848020384955
92,3063.347348429618
93,3064.8167560479797
94,3066.17438021951
95,3067.678755689408
96,10168.94591401476
97,727.3964995257909
98,646.36735468363
99,816.2500827169247
100,1067.9163695230925
101,3229.155525739768
102,3230.049819957721
103,3230.865649656123
104,3231.8945162238133
105,3223.0547224207985
106,3224.2776439864565
107,3225.6951090105886
108,129.87367274003617
109,130.04338538266921
110,131.24480062429754
111,131.46910834972905
112,132.91496033020866
113,135.45758747034733
114,138.01040493278092
115,140.18570015080437
116,142.74852809325546
117,144.84212607128384
118,146.79686952913445
119,308.73852520577617
120,777.7402732703794
121,287.441110452503
122,277.03176574618294
123,327.49236032092307
124,337.4379191771934
125,1378.4400166289415
126,1379.5667706821444
127,1380.8974614373801
128,1382.408044796261
129,1383.8828639649623
130,1385.2232499211614
131,1376.689013328108
132,10168.441313588932
133,306.77766446949624
134,275.66309528565705
135,345.48230569090043
136,467.13367224886804
137,1448.3602765107087
138,1449.2770931985642
139,1450.1210937465435
140,1451.17674867256
141,1452.3638142766708
142,1453.5772774707023
143,1444.9607486039458
144,129.94483292478577
145,150.2240436111532
146,211.50447733095316
147,181.78091489380836
148,273.28972721330683
149,205.877777480096
150,208.45458279395115
151,210.6300630348937
152,233.23483197265696
153,275.3672788429728
154,277.3675379389334
155,659.3793306235821
156,1691.8152645660878
157,650.7629696562828
158,629.5945425209551
159,679.8287815365948
160,657.6604076559306
161,2428.9072756278765
162,2381.168069196746
163,2423.9382974702767
164,2426.905837145153
165,2429.887482967384
166,2432.6469769512382
167,2425.670896810036
168,1658.3072454596393
169,705.8999522235728
170,643.3746173254576
171,752.2134904544275
172,1014.247990631897
173,3066.269696104462
174,3068.2411523125534
175,3070.0636724716483
176,3072.222561337385
177,3064.609262262642
178,3067.149215451554
179,3070.037941283606
180,129.87367274003617
181,130.04338538266921
182,131.24480062429754
183,131.46910834972905
184,132.91496033020866
185,135.45758747034733
186,138.01040493278092
187,140.18570015080437
188,142.74852809325546
189,144.84212607128384
190,146.79686952913445
191,308.73852520577617
192,740.594865232863
193,269.34137492059506
194,258.00709324054424
195,278.11222178302
196,265.7788518639778
197,1096.9679364381825
198,1059.2420309346635
199,1091.9944614835558
200,1094.993031722248
201,1098.0008116617628
202,1100.708653167324
203,1093.551949211901
204,716.6819508512544
205,284.0899425741789
206,261.4085134603714
207,310.134643983697
208,422.1280897956829
209,1384.1523826287491
210,1376.1706422344678
211,1378.040640754799
212,1380.242898992784
213,1382.6878362518883
214,1375.198333792071
215,1378.0156674206337
216,129.94483292478577
217,150.2240436111532
218,211.50447733095316
219,181.78091489380836
220,273.28972721330683
221,205.877777480096
222,208.45458279395115
223,210.6300630348937
224,233.23483197265696
225,275.3672788429728
226,277.3675379389334
227,659.3793306235821
228,1691.9838929744144
229,661.2553052828487
230,650.2856667718519
231,740.8782048906942
232,780.5893855940895
233,3072.136120951188
234,3064.2199941245863
235,3066.7250830747967
236,3069.3916333855377
237,3072.267582274886
238,3064.976027695255
239,3067.8180093370142
240,10200.839779969583
241,707.6031992080692
242,635.2645805588566
243,774.5687345230632
244,1056.7768661285934
245,3228.7836158285572
246,3220.622015394665
247,3222.3205849997653
248,3224.4040733254924
249,3226.6498548747936
250,3229.1026726300693
251,3221.9162406721816
252,129.87367274003617
253,130.04338538266921
254,131.24480062429754
255,131.46910834972905
256,132.91496033020866
257,135.45758747034733
258,138.01040493278092
259,140.18570015080437
260,142.74852809325546
261,144.84212607128384
262,146.79686952913445
263,308.73852520577617
264,740.7679282705161
265,269.84388828789724
266,258.7074656770318
267,299.17005257856545
268,318.7436087941494
269,1380.2314594970921
270,1382.3260225546667
271,1384.8522603646275
272,1377.5388405165038
273,1380.4321726791513
274,1383.092642396678
275,1375.8597563644341
276,10199.44503279956
277,285.9927893234838
278,253.50360050285312
279,322.69221135451085
280,444.8532020806093
281,1446.8551145413753
282,1448.7326738382749
283,1450.485027385696
284,1452.6101799124472
285,1444.9041562317284
286,1447.3313194491275
287,1450.123347863084
288,129.89840105318012
289,140.18247451190857
290,211.38812233783523
291,171.65736620959404
292,252.99132224930722
293,195.42055550312597
294,197.96641388352464
295,200.12153420244428
296,222.38711024372782
297,264.30472626253066
298,276.07892435587803
299,657.8002680620501
300,1567.1213123984994
301,606.7906053931838
302,596.4013378938662
303,636.7189571179734
304,615.8273509129895
305,2016.7327997926923
306,1827.8854511338423
307,1819.3558312326672
308,1790.7545467742646
309,1742.0950718676993
310,1703.372810543659
311,1774.6975716843822
312,1375.0132296655465
313,594.0046238475941
314,542.9668051309837
315,642.597327683098
316,823.979291989688
317,2035.1046605912718
318,1806.076178935127
319,1756.9549815541063
320,1687.959960922843
321,1669.0380554284934
322,1620.1606412853732
323,1611.4777439574277
324,129.82822074981027
325,130.00431039237466
326,131.13220603698832
327,131.35044205030516
328,132.62783954400186
329,135.0166230872368
330,137.53325006668533
331,139.65644579104378
332,141.87919568736993
333,143.7529153886512
334,145.45779501538598
335,307.09917329608646
336,276.509555579
337,256.0329513411118
338,265.51594401841544
339,285.73158601040586
340,274.74255117674926
341,945.6095093685362
342,966.7624937509404
343,948.193521695138
344,979.608177331266
345,970.9559494023976
346,972.207864799578
347,933.4793571017872
348,674.0639999226235
349,292.93135177930856
350,261.796290937128
351,311.3567238471028
352,392.69841532501965
353,1113.8405869680291
354,1065.0285466028852
355,1045.9056410902747
356,1066.9334241637507
357,1048.0225519561156
358,1039.1217538763822
359,1010.398773183232
360,129.89840105318012
361,140.18247451190857
362,211.38812233783523
363,171.65736620959404
364,252.99132224930722
365,195.42055550312597
366,197.96641388352464
367,200.12153420244428
368,222.38711024372782
369,264.30472626253066
370,276.07892435587803
371,657.8002680620501
372,1577.2048850308033
373,617.0350162288264
374,606.7445110033826
375,687.2462295122241
376,747.2519726236344
377,2388.253213049222
378,2279.356593527094
379,2180.607111631189
380,2131.9211414426018
381,1993.2002478079796
382,2064.3656968144005
383,2005.604556994406
384,6716.051886165936
385,604.64145201273
386,543.7092562198352
387,623.5913329724546
388,825.0975083453096
389,1956.2513467935084
390,1817.156538121308
391,1757.9935581245936
392,1688.9456801457889
393,1700.014511664015
394,1681.1205993972403
395,1632.3802295100577
396,129.82822074981027
397,130.00431039237466
398,131.13220603698832
399,131.35044205030516
400,132.62783954400186
401,135.0166230872368
402,137.53325006668533
403,139.65644579104378
404,141.87919568736993
405,143.7529153886512
406,145.45779501538598
407,307.09917329608646
408,286.59483042215976
409,266.2854661806131
410,275.87066847882
411,316.27216673318486
412,316.18557748720764
413,1177.1474080310163
414,1228.245767726955
415,1169.5020274622766
416,1180.826613941364
417,1202.1093319541235
418,1133.2475959130807
419,1134.4385721616106
420,4775.140051775246
421,283.59658762335835
422,252.56629119854873
423,312.3412618837325
424,413.6011081033191
425,1124.8549062937245
426,1095.796681833281
427,1076.6694305023457
428,1087.6654221977622
429,1058.7427706910025
430,1049.8026056548078
431,1011.0613535783465
432,129.94483292478577
433,150.2240436111532
434,211.50447733095316
435,181.78091489380836
436,273.28972721330683
437,205.877777480096
438,208.45458279395115
439,210.6300630348937
440,233.23483197265696
441,275.3672788429728
442,277.3675379389334
443,659.3793306235821
444,148.2674982987628
445,147.91038186205944
446,147.49551311146544
447,147.82811031092342
448,146.9086840598165
449,147.89174191309297
450,149.19684177833597
451,151.09498894549463
452,152.93646137224368
453,154.63906299679797
454,156.13031516108614
455,157.5960667265658
456,159.9269203339076
457,158.657316745657
458,157.38437386376162
459,156.8919553469281
460,158.3456286162459
461,159.54858546883656
462,160.60531500796716
463,161.64719534769876
464,162.95513864516326
465,164.26299017125984
466,165.45415292289232
467,166.7869692214235
468,129.87367274003617
469,130.04338538266921
470,131.24480062429754
471,131.46910834972905
472,132.91496033020866
473,135.45758747034733
474,138.01040493278092
475,140.18570015080437
476,142.74852809325546
477,144.84212607128384
478,146.79686952913445
479,308.73852520577617
480,147.65397710070607
481,147.18372284940295
482,146.67342667802984
483,146.92781098910615
484,145.91038327836895
485,146.7970663935204
486,147.9897566943734
487,149.78595327271555
488,151.51942856165036
489,153.14711218596713
490,154.61011061040992
491,156.10510763858156
492,158.1224021647539
493,156.8318510216892
494,155.54410630626217
495,155.05430179323034
496,156.5385793335583
497,157.74006488389585
498,158.7645589899611
499,159.76965381299965
500,161.02715838252138
501,162.3020225424091
502,163.4816665071873
503,164.83136577704477
504,129.94483292478577
505,150.2240436111532
506,211.50447733095316
507,181.78091489380836
508,273.28972721330683
509,205.877777480096
510,208.45458279395115
511,210.6300630348937
512,233.23483197265696
513,275.3672788429728
514,277.3675379389334
515,659.3793306235821
516,148.3514335759878
517,148.16213440713386
518,147.8498231205311
519,148.38495676857045
520,148.39299416417822
521,149.48642632973412
522,150.78445535909907
523,152.36821898296054
524,154.20097905049272
525,155.84648408238175
526,157.1855763583304
527,158.6163896759418
528,161.4370300341151
529,159.70924753035666
530,158.52581725656108
531,158.27337494604413
532,159.81091244378598
533,161.01110135350615
534,161.96802212913235
535,162.9203217723299
536,164.15271651144843
537,165.39647609835262
538,166.54363891962868
539,167.84339088241674
540,129.87367274003617
541,130.04338538266921
542,131.24480062429754
