FID_WaterB,NetCDF coordinates,index,lat,long,Lake_name,Downstream,HydroElec,Lake_type,Vol_total (Mm3),Command area,CCA_name,Daily data,Construction year,CCA_code,Shape_Area (m2)
99,,,,,,,0,1,1,,,,0,0,273803
100,,,,,,,0,1,0,,,,0,0,117083
101,,,,,,,0,1,1,,,,0,0,333289
102,,,,,,,0,1,0,,,,0,0,196830
103,,,,,,,0,1,0,,,,0,0,98490
104,,,,,,,0,1,1,,,,0,0,243143
105,,,,,,,0,1,0,,,,0,0,107487
106,,,,,,,0,1,0,,,,0,0,145029
107,,,,,,,0,1,0,,,,0,0,143201
108,,,,,,,0,1,0,,,,0,0,95263
109,,,,,,,0,1,0,,,,0,0,160128
110,,,,,,,0,1,1,,,,0,0,205138
111,,,,,,,0,1,1,,,,0,0,249418
112,,,,,,,0,1,1,,,,0,0,281442
113,,,,,,,0,1,0,,,,0,0,151575
114,,,,,,,0,1,1,,,,0,0,474679
115,"(105,59)","(105,59)",18.62083244,73.66249847,Kasarsai,,0,2,3,Standard,Kasarsai,,1995,20,769357
116,,,,,,,0,1,1,,,,0,0,215227
117,,,,,,,0,1,2,,,,0,0,649868
118,,,,,,,0,1,1,,,,0,0,403581
119,,,,,,,0,1,1,,,,0,0,243026
120,,,,,,,0,1,1,,,,0,0,316886
121,,,,,,,0,1,1,,,,0,0,217649
122,,,,,,,0,1,1,,,,0,0,157515
123,,,,,,,0,1,0,,,,0,0,179571
124,,,,,,,0,1,1,,,,0,0,460291
125,,,,,,,0,1,1,,,,0,0,131014
126,,,,,,,0,1,1,,,,0,0,179992
127,,,,,,,0,1,0,,,,0,0,168190
128,,,,,,,0,1,1,,,,0,0,246798
129,,,,,,,0,1,1,,,,0,0,129774
130,,,,,,,0,1,0,,,,0,0,160393
131,,,,,,,0,1,1,,,,0,0,384766
132,,,,,,,0,1,1,,,,0,0,276872
133,,,,,,,0,1,1,,,,0,0,282388
134,,,,,,,0,1,0,,,,0,0,249039
135,,,,,,,0,1,1,,,,0,0,259471
136,,,,,,,0,1,0,,,,0,0,176233
137,,,,,,,0,1,4,,,,0,0,930899
138,,,,,,,0,1,2,,,,0,0,696241
139,,,,,,,0,1,1,,,,0,0,242485
140,,,,,,,0,1,1,,,,0,0,292221
141,,,,,,,0,1,2,,,,0,0,529325
142,,,,,,,0,1,1,,,,0,0,208620
143,,,,,,,0,1,0,,,,0,0,130330
144,,,,,,,0,1,0,,,,0,0,153186
145,,,,,,,0,1,2,,,,0,0,261673
146,,,,,,,0,1,0,,,,0,0,114701
147,,,,,,,0,1,1,,,,0,0,265822
148,,,,,,,0,1,1,,,,0,0,265612
149,,,,,,,0,1,1,,,,0,0,259984
150,,,,,,,0,1,0,,,,0,0,249787
151,,,,,,,0,1,0,,,,0,0,138695
152,,,,,,,0,1,0,,,,0,0,119772
153,,,,,,,0,1,1,,,,0,0,267648
154,,,,,,,0,1,1,,,,0,0,301891
155,,,,,,,0,1,2,,,,0,0,956695
156,,,,,,,0,1,1,,,,0,0,307837
157,,,,,,,0,1,0,,,,0,0,187860
158,,,,,,,0,1,3,,,,0,0,926066
159,"(141, 318)","-141,318",18.32083321,75.8208313,Pathari,1,0,2,12,,,,1905,0,887956
160,,,,,,,0,1,0,,,,0,0,191912
161,,,,,,,0,1,1,,,,0,0,168962
162,,,,,,,0,1,1,,,,0,0,661844
163,,,,,,,0,1,0,,,,0,0,97930
164,,,,,,,0,1,1,,,,0,0,378684
165,,,,,,,0,1,1,,,,0,0,273242
166,,,,,,,0,1,1,,,,0,0,215802
167,,,,,,,0,1,1,,,,0,0,296036
168,,,,,,,0,1,1,,,,0,0,181435
169,,,,,,,0,1,2,,,,0,0,587002
170,,,,,,,0,1,0,,,,0,0,183413
171,,,,,,,0,1,0,,,,0,0,177115
172,,,,,,,0,1,0,,,,0,0,117759
173,,,,,,,0,1,1,,,,0,0,386398
174,,,,,,,0,1,1,,,,0,0,314567
175,,,,,,,0,1,0,,,,0,0,183444
176,,,,,,,0,1,1,,,,0,0,288912
177,,,,,,,0,1,1,,,,0,0,340359
178,,,,,,,0,1,1,,,,0,0,376012
179,,,,,,,0,1,2,,,,0,0,615757
180,,,,,,,0,1,1,,,,0,0,322690
181,,,,,,,0,1,2,,,,0,0,790451
182,,,,,,,0,1,1,,,,0,0,217533
183,,,,,,,0,1,0,,,,0,0,197053
184,,,,,,,0,1,1,,,,0,0,305656
185,,,,,,,0,1,0,,,,0,0,209157
186,,,,,,,0,1,0,,,,0,0,125499
187,,,,,,,0,1,0,,,,0,0,191930
188,,,,,,,0,1,0,,,,0,0,164965
189,,,,,,,0,1,1,,,,0,0,273807
190,,,,,,,0,1,0,,,,0,0,137703
191,,,,,,,0,1,0,,,,0,0,159521
192,,,,,,,0,1,1,,,,0,0,358903
193,,,,,,,0,1,0,,,,0,0,141620
194,,,,,,,0,1,1,,,,0,0,270805
195,,,,,,,0,1,1,,,,0,0,263253
196,,,,,,,0,1,1,,,,0,0,350723
197,,,,,,,0,1,1,,,,0,0,518829
198,,,,,,,0,1,0,,,,0,0,152171
199,,,,,,,0,1,0,,,,0,0,140102
200,,,,,,,0,1,0,,,,0,0,103291
201,,,,,,,0,1,0,,,,0,0,207685
202,,,,,,,0,1,0,,,,0,0,227186
203,,,,,,,0,1,0,,,,0,0,150739
204,,,,,,,0,1,2,,,,0,0,632531
205,,,,,,,0,1,2,,,,0,0,540105
206,,,,,,,0,1,0,,,,0,0,117259
207,,,,,,,0,1,1,,,,0,0,409477
208,,,,,,,0,1,1,,,,0,0,579401
209,,,,,,,0,1,0,,,,0,0,148682
210,,,,,,,0,1,2,,,,0,0,585052
211,,,,,,,0,1,0,,,,0,0,160052
212,,,,,,,0,1,0,,,,0,0,124859
213,,,,,,,0,1,1,,,,0,0,252435
214,,,,,,,0,1,2,,,,0,0,825423
215,,,,,,,0,1,3,,,,0,0,937068
216,,,,,,,0,1,2,,,,0,0,610897
217,,,,,,,0,1,1,,,,0,0,585965
218,,,,,,,0,1,1,,,,0,0,309654
219,,,,,,,0,1,0,,,,0,0,215636
220,,,,,,,0,1,0,,,,0,0,175045
221,,,,,,,0,1,1,,,,0,0,571192
222,,,,,,,0,1,1,,,,0,0,231167
223,,,,,,,0,1,1,,,,0,0,408214
224,,,,,,,0,1,1,,,,0,0,512170
225,,,,,,,0,1,0,,,,0,0,209261
226,,,,,,,0,1,0,,,,0,0,154534
227,,,,,,,0,1,1,,,,0,0,257712
228,,,,,,,0,1,1,,,,0,0,279690
229,,,,,,,0,1,1,,,,0,0,201260
230,,,,,,,0,1,2,,,,0,0,855542
231,,,,,,,0,1,0,,,,0,0,158054
232,,,,,,,0,1,0,,,,0,0,125553
233,,,,,,,0,1,1,,,,0,0,357807
234,,,,,,,0,1,1,,,,0,0,477463
235,,,,,,,0,1,0,,,,0,0,142116
236,,,,,,,0,1,0,,,,0,0,148952
