,0
0,4.687899642209838
1,5.2762904911215625
2,6.1931659099513
3,6.92192337748541
4,7.934748345066723
5,9.207036306441282
6,10.22502001284434
7,11.093157778771294
8,12.016932093858609
9,12.883559465049249
10,13.767764720716555
11,14.674661395654239
12,15.575630961696696
13,16.27166261920486
14,16.83237460615639
15,17.473799633091012
16,17.63971817974852
17,18.388406819396376
18,19.359882538182774
19,20.27368892183204
20,21.23116753843947
21,22.15800041200601
22,23.09849605001145
23,24.042062263238922
24,24.626800485197464
25,24.33587280713816
26,24.105259926222
27,24.00986034546561
28,24.245123429756184
29,24.696768253642585
30,25.268399785485297
31,25.865215020799198
32,26.527226052358944
33,27.215410360876287
34,27.915533168929407
35,28.717955025159885
36,29.190743749054544
37,28.89771721632041
38,28.00308320104026
39,27.64068017242354
40,27.430626334260882
41,27.542787330011677
42,27.80296557256334
43,28.073817714968936
44,28.423716933704704
45,28.78296225193958
46,29.20869548741001
47,29.475138813454496
48,4.687899642209838
49,5.2762904911215625
50,6.1931659099513
51,6.92192337748541
52,7.934748345066723
53,9.207036306441282
54,10.22502001284434
55,11.093157778771294
56,12.016932093858609
57,12.883559465049249
58,13.767764720716555
59,14.674661395654239
60,15.596466954687218
61,16.33789954373041
62,16.926545580065333
63,17.62091064232223
64,18.076509846141555
65,18.937680010635095
66,19.989298252486368
67,21.007239343305756
68,22.05197192800545
69,23.037165486897347
70,24.06733643859355
71,25.098220296634405
72,25.918703427281965
73,25.69950794389522
74,25.38347006931367
75,25.263267407191222
76,25.48516098983918
77,25.896474702816445
78,26.399496434628496
79,26.932945295021682
80,27.543166143867936
81,28.178901369068726
82,28.8295831912935
83,29.584104055297974
84,29.98934207878982
85,29.54666144856805
86,28.542663134909283
87,28.17220987933639
88,28.09311721372603
89,28.22346664467369
90,28.453775173736524
91,28.712464222252162
92,29.0255082918726
93,29.387171419392256
94,29.805973670675062
95,30.040686118315076
