,0
0,3.82273349930935
1,4.126551548686725
2,4.965333517836496
3,5.315858830641194
4,6.288528377919933
5,7.823419390102373
6,9.283501744796105
7,10.487285319635816
8,11.68582028170462
9,12.706565082827405
10,13.723436868085157
11,14.711927886556568
12,15.307883827876404
13,15.259439636692582
14,15.138809105594719
15,15.368680945062653
16,14.930785762426762
17,15.44881362320583
18,16.260095538450557
19,17.265851532959925
20,18.39600115726813
21,19.504460230744755
22,20.638045138602248
23,21.780571107847734
24,22.270687419310338
25,21.60405922800925
26,20.934848667940827
27,20.607089845769522
28,21.14065504159305
29,21.78199259668115
30,22.58180096999731
31,23.296067821674523
32,24.131496973702124
33,25.01373653993647
34,25.935675841001785
35,26.942309096912247
36,27.230156191238436
37,26.4794360159025
38,24.84660214858578
39,24.32623097369556
40,24.209605144961625
41,24.59638181000945
42,25.10214550007317
43,25.655696293498305
44,26.280246849962214
45,26.926828386271044
46,27.620663550518685
47,28.015501015975325
48,3.82273349930935
49,4.126551548686725
50,4.965333517836496
51,5.315858830641194
52,6.288528377919933
53,7.823419390102373
54,9.283501744796105
55,10.487285319635816
56,11.68582028170462
57,12.706565082827405
58,13.723436868085157
59,14.711927886556568
60,15.365305078453336
61,15.406381746364044
62,15.353352077789463
63,15.6880171398888
64,15.757023776971293
65,16.35802665789439
66,17.185680377150046
67,18.21780934159001
68,19.338045619131588
69,20.43276514257431
70,21.575157548747864
71,22.740600307281333
72,23.231742468825882
73,22.404481117474155
74,21.747775587149466
75,21.516193627267803
76,22.089971099018495
77,22.719832171430863
78,23.494233996879977
79,24.160376487032845
80,24.944888919756863
81,25.795988239176705
82,26.68322088897311
83,27.65647627920629
84,27.901009000903812
85,26.936298330288743
86,25.12803986133787
87,24.681060125550665
88,24.8787296875923
89,25.305982910768623
90,25.798064839748452
91,26.3133802026316
92,26.885579638574715
93,27.515237088241008
94,28.19973377036824
95,28.58725716325888
