,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
total,0.25023931366339774,0.27902814911942475,0.3124420231117633,0.21978647930943981,0.2825973528555599,0.30994715049991506,0.25023931366339774,0.29034531863349045,0.30840239866877167,0.21978647930943981,0.300255429084122,0.2995946727861119,0.24183683432391512,0.235902877508372,0.25175894297158163,0.21840819832619476,0.23277240254665119,0.24700856679474348,0.24183683432391512,0.2460184325001981,0.25522457282736616,0.21840819832619476,0.24525850307252242,0.2509464350727048
piped,0.41911769481838435,0.5450135196241728,0.5673827405175284,0.3674089649328027,0.5286461450640291,0.5648826034707942,0.41911769481838435,0.5511259379125173,0.6147272845311421,0.3674089649328027,0.5358917997131604,0.6108775198809077,0.4085951405815497,0.5030031509502675,0.5254361455779818,0.3455079998490062,0.4988587464567369,0.523598452526507,0.4085951405815497,0.5263058257125853,0.5751719680341251,0.3455079998490062,0.5234300793165146,0.574078549369848
well,0.8138582897064001,0.7219826469392018,0.766240818362467,0.8748881167886094,0.6997559362104019,0.738831386281147,0.8138582897064001,0.7208398133178316,0.769214433417995,0.8748881167886094,0.6927829910470522,0.7376857763573493,0.8150909865107064,0.7179481207240147,0.7575784246998875,0.8877429240021325,0.6976880147902499,0.7345721443638511,0.8150909865107064,0.7151909480916346,0.7639170141984385,0.8877429240021325,0.6875787984162729,0.7318235581879833
tanker1,0.8633491493916248,0.616853419738752,0.5610504435902129,0.8735822433028467,0.7046146675018741,0.6277861574053086,0.8633491493916248,0.589831661892744,0.5377722253700689,0.8735822433028467,0.6843423835011574,0.6002033415806556,0.8642815461061882,0.6310022929757634,0.5747624781630911,0.8890004249906398,0.7180248878442296,0.6490281518102242,0.8642815461061882,0.5994323698799652,0.5495723834276891,0.8890004249906398,0.6953416216826848,0.6196899032716154
tanker2,,,,,,,,,,,,,,,,,,,,,,,,
